TGLREPLENISH,JAMREPLENISH,ATMID,TYPEATMCRM,TELLERID,CABANG,ESCROW,REFUNDDENOM50K,REFUNDDENOM100K,REFUNDTOTAL,REPLENISHDENOM50K,REPLENISHDENOM100K,REPLENISHTOTAL
1260819,123436,"ZZ01      ",CRM,"W004      ",47007,0000000800164118500,565000000,30530000000,31095000000,2000000000,28000000000,30000000000
1260819,200337,"H174      ",CRM,"W56D      ",47007,0000000800035018400,390000000,13420000000,13810000000,9000000000,12000000000,21000000000
1260819,235123,"B686      ",ATM50K,"Z9AJ      ",47007,0000000800164118500,2990000000,0,2990000000,40000000000,0,40000000000
1260819,154738,"1252      ",ATM50K,"Z06L      ",47007,0000000800181276100,4570000000,0,4570000000,18000000000,0,18000000000
1260819,105305,"8511      ",ATM100K,"Z2QA      ",29028,0000000000000000000,0,14450000000,14450000000,0,20000000000,20000000000
1260819,231523,"5467      ",ATM50K,"Z3TB      ",47007,0000000800164118500,14375000000,0,14375000000,40000000000,0,40000000000
1260819,152005,"4410      ",ATM50K,"Z1MN      ",7,0000000000000000000,8875000000,0,8875000000,10000000000,0,0
1260819,130932,"1582      ",ATM50K,"Z0EW      ",47007,0000000800178531200,7840000000,0,7840000000,28000000000,0,28000000000
1260819,142241,"8471      ",ATM100K,"Z2PJ      ",42000,0000000000000000000,0,29830000000,29830000000,0,20000000000,20000000000
1260819,92755,"H150      ",CRM,"W55F      ",12001,0000000000000000000,1580000000,1750000000,3330000000,0,10000000000,10000000000
1260819,63406,"3608      ",ATM100K,"Z191      ",43503,0000000000000000000,0,3310000000,3310000000,0,10000000000,10000000000
1260819,43811,"5799      ",ATM50K,"Z41R      ",47007,0000000800164118500,29420000000,0,29420000000,30000000000,0,30000000000
1260819,131336,"5499      ",ATM50K,"Z3U4      ",47007,0000000800164118500,4100000000,0,4100000000,13500000000,0,13500000000
1260819,83340,"5458      ",ATM50K,"Z3T3      ",47007,0000000800164118500,18515000000,0,18515000000,40000000000,0,40000000000
1260819,150915,"H208      ",CRM,"W57L      ",24003,0000000000000000000,3485000000,8540000000,12025000000,5000000000,10000000000,15000000000
1260819,123011,"ZZKP      ",CRM,"W35P      ",16033,0000000000000000000,1000000000,6860000000,7860000000,4000000000,4000000000,8000000000
1260819,204700,"3259      ",ATM50K,"Z108      ",47007,0000000800164118500,5675000000,0,5675000000,20500000000,0,20500000000
1260819,130950,"4961      ",ATM100K,"Z3IS      ",47007,0000000800178541700,0,6520000000,6520000000,0,20000000000,20000000000
1260819,141856,"ZZ6P      ",CRM,"W12P      ",47007,0000000800034858700,0,0,0,0,0,0
1260819,201549,"A894      ",ATM100K,"Z7CP      ",47007,0000000800181276100,0,24980000000,24980000000,0,80000000000,80000000000
1260819,100315,"A932      ",ATM50K,"Z7EA      ",24059,0000000000000000000,0,0,0,0,0,5000000000
1260819,95211,"ZZP4      ",CRM,"W20P      ",24027,0000000000000000000,11350000000,4130000000,15480000000,10000000000,10000000000,20000000000
1260819,125719,"1772      ",ATM50K,"Z0IW      ",47007,0000000800034805600,11065000000,0,11065000000,0,0,0
1260819,113755,"ZZ9E      ",CRM,"W15E      ",47007,0000000800164118500,13095000000,10360000000,23455000000,14000000000,5000000000,19000000000
1260819,93510,"ZZKN      ",CRM,"W35N      ",39056,0000000000000000000,1285000000,23180000000,24465000000,2000000000,4000000000,6000000000
1260819,93954,"ZZ65      ",CRM,"W01X      ",47007,0000000800164118500,1115000000,24700000000,25815000000,14000000000,32000000000,46000000000
1260819,152451,"A091      ",ATM50K,"Z4ES      ",39051,0000000000000000000,6680000000,0,6680000000,10000000000,0,10000000000
1260819,93014,"ZZMY      ",CRM,"W37Y      ",23047,0000000000000000000,5850000000,12400000000,18250000000,5000000000,10000000000,15000000000
1260819,25758,"ZZND      ",CRM,"W38D      ",47007,0000000800164118500,4975000000,7460000000,12435000000,15000000000,15000000000,30000000000
1260819,134658,"ZZLP      ",CRM,"W36P      ",47007,0000000800164118500,585000000,25540000000,26125000000,2000000000,28000000000,30000000000
1260819,105013,"ZZKF      ",CRM,"W35F      ",34026,0000000000000000000,4925000000,19810000000,24735000000,5000000000,10000000000,15000000000
1260819,101308,"ZZBP      ",CRM,"W1PP      ",32012,0000000000000000000,1895000000,12870000000,14765000000,5000000000,10000000000,15000000000
1260819,183230,"ZZ5Z      ",CRM,"W11Z      ",47007,0000000800035018400,0,0,0,0,0,0
1260819,124835,"3453      ",ATM50K,"Z154      ",47007,0000000800181276100,7725000000,0,7725000000,27000000000,0,27000000000
1260819,101455,"3061      ",ATM50K,"Z0V5      ",47007,0000000800164118500,7170000000,0,7170000000,30000000000,0,0
1260819,83633,"3940      ",ATM50K,"Z1HZ      ",24027,0000000000000000000,3100000000,0,3100000000,10000000000,0,10000000000
1260819,22246,"4609      ",ATM50K,"Z39V      ",47007,0000000800181276100,10620000000,0,10620000000,27000000000,0,27000000000
1260819,93253,"ZZBV      ",CRM,"W1VV      ",47007,0000000800164118500,1610000000,6180000000,7790000000,3000000000,5000000000,8000000000
1260819,114823,"8067      ",ATM100K,"Z2HQ      ",39027,0000000000000000000,0,3900000000,3900000000,0,20000000000,20000000000
1260819,170537,"H140      ",CRM,"W54V      ",8001,0000000000000000000,2485000000,17710000000,20195000000,5000000000,20000000000,25000000000
1260819,211633,"ZZG5      ",CRM,"W21G      ",47007,0000000800178531200,0,0,0,0,0,0
1260819,95751,"4286      ",ATM50K,"Z31Q      ",47007,0000000800184550900,5805000000,0,5805000000,30000000000,0,30000000000
1260819,113218,"H392      ",CRM,"W64N      ",58,0000000000000000000,3840000000,13190000000,17030000000,5000000000,10000000000,15000000000
1260819,113053,"6504      ",ATM50K,"Z235      ",47007,0000000800164118500,17760000000,0,17760000000,30500000000,0,30500000000
1260819,170508,"ZZBH      ",CRM,"W1HH      ",47007,0000000800034862000,9190000000,36920000000,46110000000,5000000000,10000000000,15000000000
1260819,193328,"H214      ",CRM,"W57R      ",47007,0000000800034806800,995000000,4270000000,5265000000,12000000000,14000000000,26000000000
