TGLREPLENISH,JAMREPLENISH,ATMID,TYPEATMCRM,TELLERID,CABANG,ESCROW,REFUNDDENOM50K,REFUNDDENOM100K,REFUNDTOTAL,REPLENISHDENOM50K,REPLENISHDENOM100K,REPLENISHTOTAL
1260818,132415,"5195      ",ATM100K,"Z3OS      ",47007,0000000800034997200,0,4920000000,4920000000,0,21600000000,21600000000
1260818,93425,"ZZSR      ",CRM,"W43R      ",34035,0000000000000000000,16770000000,45460000000,62230000000,2000000000,4000000000,6000000000
1260818,83250,"ZZPL      ",CRM,"W40L      ",37007,0000000000000000000,6520000000,38080000000,44600000000,5000000000,5000000000,10000000000
1260818,82907,"B014      ",ATM100K,"Z7HF      ",23008,0000000000000000000,0,6530000000,6530000000,0,8000000000,8000000000
1260818,101419,"H216      ",CRM,"W57T      ",34081,0000000000000000000,1965000000,4200000000,6165000000,2500000000,5000000000,7500000000
1260818,153116,"B041      ",ATM50K,"Z7IG      ",20022,0000000000000000000,4420000000,0,4420000000,10000000000,0,10000000000
1260818,123801,"ZZUZ      ",CRM,"W45Z      ",47007,0000000800164118500,19800000000,28020000000,47820000000,20000000000,28000000000,48000000000
1260818,91741,"B018      ",ATM100K,"Z7HJ      ",23012,0000000000000000000,0,20840000000,20840000000,0,20000000000,20000000000
1260818,111555,"ZZKQ      ",CRM,"W35Q      ",8008,0000000000000000000,2140000000,6720000000,8860000000,5000000000,10000000000,15000000000
1260818,104108,"ZZRP      ",CRM,"W42P      ",39028,0000000000000000000,4245000000,11550000000,15795000000,10000000000,10000000000,20000000000
1260818,202911,"4591      ",ATM100K,"Z39E      ",47007,0000000800178541700,0,12340000000,12340000000,0,38000000000,38000000000
1260818,102458,"2360      ",ATM100K,"Z0QP      ",29000,0000000000000000000,0,13010000000,13010000000,0,10000000000,10000000000
1260818,164805,"1360      ",ATM50K,"Z098      ",23013,0000000000000000000,12630000000,0,12630000000,10000000000,0,10000000000
1260818,134950,"1039      ",ATM100K,"Z010      ",47007,0000000800164118500,0,53210000000,53210000000,0,36000000000,36000000000
1260818,121341,"4723      ",ATM50K,"Z3CS      ",47007,0000000800164118500,5450000000,0,5450000000,24500000000,0,24500000000
1260818,152503,"ZZPR      ",CRM,"W40R      ",23014,0000000000000000000,3670000000,3570000000,7240000000,5000000000,4000000000,9000000000
1260818,173922,"B693      ",ATM50K,"Z9AQ      ",47007,0000000800035077200,5275000000,0,5275000000,10000000000,0,10000000000
1260818,150524,"1840      ",ATM50K,"Z0KQ      ",39042,0000000000000000000,8700000000,0,8700000000,10000000000,0,10000000000
1260818,95108,"1119      ",ATM100K,"Z034      ",29031,0000000000000000000,0,36050000000,36050000000,0,35000000000,35000000000
1260818,142305,"H104      ",CRM,"W52I      ",37015,0000000000000000000,4320000000,22680000000,27000000000,5000000000,10000000000,15000000000
1260818,113138,"ZZ6E      ",CRM,"W12E      ",47007,0000000800184550900,1300000000,12010000000,13310000000,10000000000,20000000000,30000000000
1260818,123830,"B628      ",ATM100K,"Z8ED      ",47007,0000000800178541700,0,9330000000,9330000000,0,20000000000,20000000000
1260818,134709,"B685      ",ATM50K,"Z9AI      ",47007,0000000800164118500,2960000000,0,2960000000,40000000000,0,40000000000
1260818,101845,"1571      ",ATM50K,"Z0EQ      ",47007,0000000800034858700,5725000000,0,5725000000,20000000000,0,20000000000
1260818,94802,"2905      ",ATM100K,"Z0T3      ",37006,0000000000000000000,0,20800000000,20800000000,0,30000000000,30000000000
1260818,92634,"A925      ",ATM50K,"Z7DU      ",28505,0000000000000000000,0,0,0,0,0,5000000000
1260818,175948,"3040      ",ATM100K,"Z0UL      ",8005,0000000000000000000,0,17990000000,17990000000,0,20000000000,20000000000
1260818,145007,"8158      ",ATM50K,"Z2JX      ",31011,0000000000000000000,3925000000,0,3925000000,10000000000,0,10000000000
1260818,101356,"ZZAG      ",CRM,"W1AG      ",20007,0000000000000000000,6385000000,12740000000,19125000000,2000000000,4000000000,6000000000
1260818,93102,"1616      ",ATM50K,"Z0FS      ",27000,0000000000000000000,7970000000,0,7970000000,10000000000,0,10000000000
1260818,130303,"ZZZ9      ",CRM,"W24Z      ",47007,0000000800164118500,6930000000,14620000000,21550000000,5000000000,5000000000,10000000000
1260818,102148,"8671      ",ATM100K,"Z2S0      ",43501,0000000000000000000,0,3800000000,3800000000,0,10000000000,10000000000
1260818,81519,"2910      ",ATM100K,"Z0T4      ",31500,0000000000000000000,0,21830000000,21830000000,0,10000000000,10000000000
1260818,82951,"H334      ",CRM,"W62H      ",44000,0000000000000000000,28490000000,25760000000,54250000000,5000000000,10000000000,15000000000
1260818,134337,"4599      ",ATM50K,"Z39M      ",47007,0000000800034806800,11095000000,0,11095000000,28000000000,0,28000000000
1260818,120930,"A978      ",ATM100K,"Z7FW      ",20028,0000000000000000000,0,24090000000,24090000000,0,40000000000,40000000000
1260818,91442,"ZZLN      ",CRM,"W36N      ",37005,0000000000000000000,3450000000,17960000000,21410000000,5000000000,10000000000,15000000000
1260818,111416,"ZZSH      ",CRM,"W43H      ",27004,0000000000000000000,2115000000,18400000000,20515000000,2000000000,8000000000,10000000000
1260818,100834,"3761      ",ATM50K,"Z1D6      ",47007,0000000800184550900,3945000000,0,3945000000,30000000000,0,30000000000
1260818,163028,"1232      ",ATM100K,"Z064      ",9,0000000000000000000,0,9310000000,9310000000,0,10000000000,10000000000
1260818,205314,"ZZIJ      ",CRM,"W32J      ",47007,0000000800164118500,2525000000,32430000000,34955000000,2500000000,28000000000,30500000000
1260818,104008,"ZZK3      ",CRM,"W19K      ",4019,0000000000000000000,3010000000,11760000000,14770000000,10000000000,5000000000,15000000000
1260818,132543,"1567      ",ATM50K,"Z0EM      ",47007,0000000800164118500,4100000000,0,4100000000,30000000000,0,30000000000
1260818,121013,"H055      ",CRM,"W08C      ",47007,0000000800034805600,8035000000,13020000000,21055000000,10000000000,20000000000,30000000000
1260818,84100,"ZZEV      ",CRM,"W29V      ",39069,0000000000000000000,10025000000,30940000000,40965000000,5000000000,10000000000,15000000000
1260818,83902,"ZZOD      ",CRM,"W39D      ",23012,0000000000000000000,790000000,3850000000,4640000000,1000000000,2000000000,3000000000
1260818,212200,"H399      ",CRM,"W64U      ",47007,0000000800035076000,7300000000,20220000000,27520000000,5000000000,10000000000,15000000000
1260818,94202,"8351      ",ATM50K,"Z2OF      ",39078,0000000000000000000,10430000000,0,10430000000,10000000000,0,10000000000
1260818,103304,"ZZKE      ",CRM,"W35E      ",39013,0000000000000000000,9100000000,41990000000,51090000000,5000000000,10000000000,15000000000
1260818,85919,"3550      ",ATM100K,"Z17K      ",27510,0000000000000000000,0,27290000000,27290000000,0,30000000000,30000000000
1260818,131817,"8278      ",ATM100K,"Z2MZ      ",27518,0000000000000000000,0,17410000000,17410000000,0,20000000000,20000000000
1260818,84421,"1685      ",ATM100K,"Z0HM      ",29010,0000000000000000000,0,26060000000,26060000000,0,20000000000,20000000000
1260818,81321,"3672      ",ATM100K,"Z1AR      ",24038,0000000000000000000,0,12290000000,12290000000,0,20000000000,20000000000
1260818,133032,"6122      ",ATM100K,"Z47Q      ",47007,0000000800166213800,0,47280000000,47280000000,0,60000000000,60000000000
1260818,121321,"ZZ6G      ",CRM,"W12G      ",34031,0000000000000000000,8070000000,8920000000,16990000000,10000000000,10000000000,20000000000
1260818,145914,"4844      ",ATM50K,"Z3FV      ",47007,0000000800164118500,6810000000,0,6810000000,30000000000,0,30000000000
1260818,100924,"ZZ7T      ",CRM,"W13T      ",47007,0000000800034806800,7395000000,40160000000,47555000000,5000000000,28000000000,33000000000
1260818,91942,"1399      ",ATM50K,"Z0A9      ",47007,0000000800164118500,7680000000,0,7680000000,30000000000,0,30000000000
1260818,73838,"2150      ",ATM100K,"Z0PP      ",37009,0000000000000000000,0,23910000000,23910000000,0,20000000000,20000000000
1260818,73347,"ZZLR      ",CRM,"W36R      ",31501,0000000000000000000,2600000000,4500000000,7100000000,2000000000,4000000000,6000000000
1260818,135406,"4345      ",ATM50K,"Z337      ",47007,0000000800164118500,15585000000,0,15585000000,36000000000,0,36000000000
